
1903	An early semiconductor diode - the first silicon crystal detector - was patented.					
			"The first stable release of OpenGL (Open Graphics Library) from made its way in.
 - real-time 3D graphics standard
 - shader support
 - GPU-oriented API (hardware-accelerated)
 - developed by Silicon Graphics, Inc. (SGI)
 - mode 13h for BIOS/DOS is starting to get edged out by graphics libraries"			
			"Mortal Kombat was released for arcade systems. 
 - made use of digitized sprites. 
 - very graphic. "			
			"Win 3.1
 - Processor: 80386 or higher processor
 - Memory: 2 MB + RAM
 - Storage: 8 MB Hard drive space 
 - # of cores: "		"Software rendering" depends on the CPU to generate the screen elements. The problem is that the CPU is busy doing other "stuff" at the same time, which could slow down screen painting.	
			The Plan 9 distributed OS with a text editor was created. 			
			SPARC V8 was released.			
			Turbo C++ 3.0 was pushed forward. 			
			MCC Interim Linux, the first Linux distro, was born. 			
			"SLS (Softlanding Linux System) was created. 
 - The first Linux distro to feature the X Window system which allowed for the 
   realization of a GUI desktop environment."			
			"UTF-8 text encoding was designed.
 - backwards compatible with ASCII
 - implemented for Plan 9 OS at first
 - used in virtually all of WWW
 - developed by Ken Thompson and Rob Pike"			
			TMS34010 no longer a model. 			
			"Samsung KM48SL2000 became the first commercially available SDRAM chip.
 - 16MB capacity
 - SDRAM stands for ""synchronous dynamic random-access memory"""			
			"PCI-SIG consortium was started.
 - in charge of the designs for the PCIe as an open industry standard for expansion buses"			
			First SSD modules are made. 			
			"Volkov Commander terminal program was released. 
 - written in Assembly -> very small (less than 100 KB) and fast."			
c. 1993	The first smartphone was designed by employees at IBM. 					
	We are seeing a shift from 16-bit architectures to 32-bit architectures. 					
1993		Aladdin	The MSVC (Microsoft Visual C++) compiler was finished and made accessible.			
			Nvidia was founded.			
			SPARC V9 was released.			
			Laser discs: more room used for more content. 			
			"Novell bought the rights for Unix from AT&T to compete with Microsoft thus merging with AT&T. 
 - It later sold the trademark and certification rights for Unix to the Open Group 
   (X/Open Consortium). "			
			HTML was introduced.			
		16-bit on its way out. 	"Myst came out on Mac OS. 
 - multimedia tech (pre-rendered content, FMV on CDs)"			
		"The 32-/64-bit 5th gen was introduced. 
 - 3D polygon graphics with texture mapping
 - 3D graphics capabilities – lighting, Gouraud shading, anti-aliasing and texture filtering
 - Optical disc (CD-ROM) game storage, allowing much larger storage space (up to 650 MB) than ROM cartridges
 - CD quality audio recordings (music and speech) – PCM audio with 16-bit depth and 44.1 kHz sampling rate
 - Wide adoption of full motion video, displaying pre-rendered computer animation or live action footage
 - Analog controllers
 - Display resolutions from 480i/480p to 576i
 - Color depth up to 16,777,216 colors (24-bit true color)"	"Doom
 - 32-bit game that could run on 16-bit machines 
 - id Tech 1 engine coded in C (mostly) and ASM (for rendering 
   and optimization)
 - maps are not fixed-grid
 - variable lighting
 - BSP(T) used for elevation/descent 
 - the DMX library (from Paul Radek) was used for sound and music. "			
			"The first version of the Build game engine is born. 
 - using MS-DOS 5 (launched in 1991) on 486DX and Pentium machines. "			
			Prehistorik 2.		"GPU rendering" hands off much of the screen drawing to the Graphics card. In theory this can be better/faster if you have a high-power graphics card for a few reasons:	
			"T. Berners-Lee released the source code for the first web-browser 
and editor. "		the GPU isn't as busy as the CPU which is doing "everything" else	
			"Microsoft released Windows NT 3.1. 
 - Had its own virtual DOS machine, the NTVDM. 
 - Microsoft developed NTFS (New Technology File System) as the filesystem for NT 
   and subsequent Windows versions, ditching FAT. "		GPU is optimized for graphics, CPU isn't (CPU has to do more calculations)	
			"The very first version of Linux Debian was created. 
 - by Ian Murdock"			
			"Slackware distro came out.
 - by Patrick Volkerding"			
			"The first version of the Lua scripting language was written.
 - performant enough to be a language of choice for making games
 - can be used for embedded systems"			
			Turbo C++ 4.0 came out. 			
			Pentium I (P5) CPU was launched. 		Many GPU's are designed to process graphics commands in parallel. CPU single-threads them. 	
c. 1994			"Red Hat project was launched.
 - headed by Mark Ewing"			
			"A certain company was renamed to ECMA. 
 - stands for European Computer Manufacturers Association"			
1994	The first smartphones became commercially available. 					
			"SSL (Secure Sockets Layer) protocol and TLS (Transport Security Layer) were developed.
 - SSL was superceded by SSH (secure shell, a cryptographic network protocol)."			
		The Need For Speed (TNFS) was released.	Micro Machines came out for DOS. 		GPU has dedicated memory it does not have to share with other CPU-based apps. 	
			Lords of the Realm was released for MS-DOS and Amiga. 			
			Elder Scrolls Arena came out. 			
		"Stunt Race FX came out. 
 - Made use of the SNES' SuperFX chipset in 4th gen consoles.
 - Faster 3D rendering.  "	"Heretic came out, developed by Raven Software and produced by 
John Romero.
 - Slated with the Doom engine. "			
			"System Shock was released for MS-DOS (Sept. '94). 
 - one of the first games featuring bi-axial aiming (with affine texture mapping) 
 - levels/spaces on top of other levels/spaces "			
			"Doom II came out (Oct. '94). 
 - features glowing and shifting textures. "			
			Warcraft: Orcs & Humans was released (Nov '94).			
			"Bungie finished and released Marathon for Macintosh (Dec. '94). 
 - ""floating"" momentum, friendly units, puzzles, swimming, 
   scripted events, reload mechanic
 - obscure because Mac gaming wasn't taken seriously. "			
			"Descent came out, first for MS-DOS and then Macintosh.
 - software rendering was used to draw the scenes and objects. 
 - arguably the first FPS to feature 3D objects 
 - six degrees of freedom"			
			James Gosling finished developing the Java programming language and the JVM (Java Virtual Machine). 			
			The last version of MS-DOS, 6.22, was released. 			
			"Apple began their transition from the Motorola 68000 series of 32-bit CISC processors to PowerPC ISA.
 - ld/str (reg-reg architecture)."			
			"VESA standardized SVGA.
 - Until then every SVGA chipset had its own design. "			
			Watcom folded.			
			Netscape was created.			
			Yahoo was created.			
			Amazon was founded.			
1995	The 350nm semiconductor fabrication process was commercialized. 					
			The first version of the PHP scripting language was released.			
			"SSH (secure shell, a cryptographic network protocol) arrived.
 - remote login
 - command-line execution"			
			The Need For Speed was ported to DOS. 			
			Novell sold the Unix division, SVR4, UnixWare, and all the rights for Unix to the Open Group (X/Open Consortium). 			
			Windows 95 came out. 			
			The first edition of JavaScript was developed by Brendan Eich. 			
			ATI comes out with 3D Rage (Mach 64 GT) 3D graphics accelerator chip. 			
			Nvidia comes out with Diamond Edge 3D (NV1) accelerator chip. 			
			Nvidia and ATI rivalry begins. 			
			"Pentium Pro (P6) CPU came out. 
 - The first x86 CPU to handle over 4GB of RAM. 
 - Data bus: 64 bits
 - Address bus: 36 bits
 - Maximum memory: 64 GB
 - L1 cache: 8 KB + 8 KB
 - L2 cache: external, 256-1024 KB (CPU frequency)
 - Clock frequency: 150-200 MHz
 - # of cores: "		By default, there is no need to enable OpenCV with CUDA for GPU processing, but during production, when you have heavy OpenCV manipulations to do on image/video files, we can make use of the OpenCV CUDA library to make those operations to run on GPU rather than CPU and it saves a lot of time.	
			SmartMedia, one of the first SSD (NAND-based) memory cards, became accessible. 			
			"First version of DirectX API came out as an SDK 
(software development kit), developed by Craig Eisler, Alex St. John, and Eric Engstrom of Microsoft.
 - low-level access to hardware components (e.g., a graphics 
   card with a frame buffer, etc. - something that was previously handled by 
   DOS). 
 - advanced features of a graphics card. 
 - helped game devs shift from DOS to Windows, making running games easier. 
   (Previously, the WinG High-Performance Graphics Library (wing32.dll) would be 
   used by older Windows systems to bring up high-resolution GUI for DOS games. 
   DOS would also have numerous hardware-specific prompts for the general user.) 
 - can tap into hardware's multimedia accelerator features. 
 - written in C++. 
 - works with programmable shaders coded in HLSL (high-level shader lang.). 
 - exclusive to Windows (unlike OpenGL and Vulkan)."			
			Turbo C++ 4.5 was rolled out. 			
			Heroes of Might and Magic: A Strategic Quest was released (Sept '95).			
			"Hexen: Beyond Heretic came out (Oct. '95). 
 - coded mostly in C. 
 - employs the ACS (Action Code Script) for timing events. 
 - The Tome of Power is a precursor to alternate fire. "			
			Warcraft II: Tides of Darkness came out (Dec. '95). 			
			"640 x 480 is still common with differences coming to play: 
 - 15"" monitors became a thing. 
 - Pixel density is at 30 ppd. "			
			Star Wars: Dark Forces was released, originally for MS-DOS and Macintosh.			
1996			"Duke Nukem 3D (Jan. '96) 
 - showcasing the Build engine (entirely in C)
 - you can JUMP!"			
			"Quake came out in Jun. '96 for DOS and later for Windows. 
 - The id Tech 2 engine was coded in C, QuakeC, and Assembly 
   (software rendering, optimization). 
 - textured polygons
 - 3D weapon models
 - map compiling includes calculation of lighting and 
   shadows for BSP. 
 - Gouraud shading for moving objects. 
 - static lightmaps for inanimate objects. "			
			"Strife joined the FPS line. 
 - arguably the first role-playing first-person shooter. "			
			TNFS was ported to Windows. 			
			Lords of the Realm II was released for MS-DOS, Windows, and Mac. 			
			"IPsec was first drafted by NRL (the US Naval Research Laboratory).
 - Gurdeep Singh-Pall, a Microsoft employee, used the protocol to forge the first VPN (virtual private network)."			
			"The first stable version of Linux Debian (v1.1) distribution was released as freeware. 
 - Debian is known to be one of the most stable distros 
 - has wide-ranging hardware support - gave birth to apt (advanced package tool)
 - favored for general-purpose applications
 - favored for server-related applications"			
			"The first version of NASM (Netwide Assembler) was released. 
 - by Simon Tatham
 - an assembler and disassembler 
 - designed for Intel x86 architecture 
 - can be used to write 16-bit, 32-bit, and 64-bit (x86-64) programs. 
 - itself coded in C and Assembly. "			
			"The first line of AVR microcontrollers by Atmel, accompanied with an instruction set, was started.
 - modified Harvard architecture
 - 8-bit
 - RISC
 - single-chip"			
			"USB port technology was introduced. 
 - would later overshadow PS/2"			
			"DOS/4G was introduced. 
 - Allows 16-bit programs and architectures to access up to 64MB of memory. 
 - DOS/4GW followed, coming with the Watcom C compiler. "			
			Heroes of Might and Magic II was released (Oct. '96). 			
			"Diablo (Dec. '96)
 - boasts support of DirectX. 
 - SVGA, 640x480. 
 - use of two color palettes (one for objects and effects, one for background). "			
			CSS came out.			
			Hotmail was founded.			
			Steve Jobs rejoins Apple after having sold NeXT to it.			
			"ACPI (Advanced Configuration and Power Interface) was engineered.
 - supplanted Advanced Power Management
 - replaced MultiProcessor Specification
 - did away with PnP (plug-and-play) BIOS Specification
 - co-developed by Intel, Toshiba, Microsoft"			
			800x600 replaces 640x480 as the standard. 			
1997	The 250nm semiconductor fabrication process was commercialized. 					
			Quake gets early support for 3D acceleration with GLQuake. 			
			Nvidia launches the RIVA 128 (ZX / NV3) chip. 			
			"Blood
 - shaped with the Build engine (purely in C)
 - voxels
 - intelligent AI
 - alternate fire mode"			
			Need For Speed II: Special Edition			
			Heavy Gear			
			Hexen II, molded with the Quake engine, was released. 			
			"Quake II came out. 
 - with the engine based on id Tech 2. 
 - employed colored lighting. "			
			Age of Empires came out.			
			Grand Theft Auto 1 was released. 			
			"Mortal Kombat 4 came out.
 - Boasts the use of 3D graphics. "			
			"Fallout was released for Windows. 
 - took three years to develop. 
 - employs cavalier-oblique hexagonal mapping grid. "			
			First Yahoo email servers became live.			
			"WiFi was created by the 802.11 committee - a group formed in the same year and headed by Vic Hayes. 
 - The committee created the IEEE802.11 set of standards for WLAN (wireless 
   local area network), thus giving birth to WiFi."			
			"The first version of Microsoft Visual Studio came out. 
 - comes with its own proprietary compiler (Microsoft Visual C++ compiler). "			
			"Pentium II came out. 
 - Data bus: ? bits
 - Address bus: ? bits
 - Maximum memory: ? GB
 - L1 cache: 
 - L2 cache: 
 - Clock frequency: ? MHz
 - # of cores: "			
1998	The 180nm semiconductor fabrication process was commercialized. 					
			"IPv6 was created.
 - 128-bit address scheme allows for up to 340 trillion trillion trillion unique IP addresses 
   ( 340 x 10^(12+12+12) or 340 x 10^(36) or 3.40 x 10^38 = 2^128 ).
 - addresses are spelled out in hexadecimal."			
			CSS 2 came out.			
		The 6th gen made its way in, featuring 128-bit systems. 	"AMD K6-2 CPU came out. 
 - Data bus: ? bits
 - Address bus: ? bits
 - Maximum memory: ? GB
 - L1 cache: 
 - L2 cache: 
 - Clock frequency: 266-333-550 MHz
 - # of cores: "			
			Intel engineered the i740 chipset, one of the first integrated graphics processors (IGP).			
			"Apt was first developed for Linux.
 - stands for ""Advanced Package Tool""
 - helps with installation and removal of libraries/packages/software"			
			"The first EFI (Extensible Firmware Interface) / UEFI (Unified Extensible Firmware Interface) was born.
 - part of it is the GPT (GUID Partition Table). 
 - A GUID/UUID is used to keep track of devices, accounts, documents, etc. An alternative 
   to BIOS's MBR (master boot record). A staple of IoT (Internet of Things).
 - GUID (Global Unique ID) is used by Microsoft.
 - UUID (Universally Unique ID) is used by other platforms
 - boasts a Graphics Output Protocol (GOP) driver for graphics in the pre-OS phase (stored in 
   GraphicsOutput.C)
 - GOP provides runtime services like the runtime mode for access to the framebuffer
 - GOP allows for querying a mode, setting a mode, and BitBlitting
 - GOP can only be used during boot time"			
			"3Dfx presented the Voodoo2 chipset. 
 - got its own proprietary API - the Glide API, specifically tailored for 3dfx accelerators. 
 - certain games had their implementation rooted in this API. 
 - Glide handled textures better than OpenGL and Direct3D, improving game performance. "	 		
			"The first Diamond Monster II 3D (proto-) gfx card was sold. 
 - powered by a 3Dfx Voodoo2 chipset. "			
			"The first DDR SDRAM chip by Samsung was unveiled.
 - boasted 64MB capacity
 - DDR stands for ""double data rate"""			
			Nvidia uncovers the RIVA TNT (NV4). 			
			The C++98 standard came out, featuring the STL (Standard Template Library) developed by Alexander Stepanov. 			
			The first version of SDL (Simple DirectMedia Layer) was made available.			
			Google was formed by Sergey Brin and Larry Page.			
			VMware was started.			
			AOL acquired CompuServe.			
			Populous: The Beginning was released. 			
			The first Thief installment, The Dark Project, came out. 			
			Knights and Merchants was first shipped. 			
			StarCraft was released. 			
			"Unreal came out, shaped with an engine coded in C and C++. 
 - Showcases dynamic colored lighting. 
 - Able to display volumetric fog. 
 - Made use of the Glide API. 
 - Was complemented with a matching music and sound design software written in Assembly. "			
			"Half-Life was released
 - Uses the GoldSrc engine based on a modified Quake engine and 
   rewritten in C and C++. "			
1999			"Pentium III
 - Data bus: ? bits
 - Address bus: ? bits
 - Maximum memory: ? GB
 - L1 cache: 
 - L2 cache: 
 - Clock frequency: 266-333-550 MHz
 - # of cores: 1"			
			GNU nano (TIP) text editor was created.			
			Gedit was released.			
			"CSS 3 was released.
 - one big specification broken up into modules "			
			"PuTTY terminal emulator was delivered. 
 - by Simon Tatham
 - a free implementation of and support for SSH and legacy protocols such as Telnet"			
			"Digital Visual Interface (DVI) connection was made available.
 - spelled doom for VGA's popularity, rendering mode 13h and DOS to be legacy tech
 - unlike VGA, which would help feed analog signals, a DVI connection would route digital signals 
   (0s and 1s for Pulse Width Modulation)
 - would do well at 60 Hz
 - no support for audio or (Ethernet) data
 - limited color depth
 - 24+4 pins
 - for pinout: https://en.wikipedia.org/wiki/Digital_Visual_Interface"			
			"Intel developed one of the first iGPU (integrated GPU) chips code-named ""Whitney"".
 - an iGPU is a chip embedded onto a CPU chip
 - an iGPU has its own VRAM (can be as small as 128MB), but can also make use of 
   the main RAM on the motherboard
 - CPUs have a few cores, but GPUs can have hundreds, or even thousands of them
 - a GPU has hardware-accelerated 3D rendering features
 - GPU is optimized for graphics, CPU isn't (CPU has to do more calculations)
 - Whitney combined the abilities of the i740 and 440LX chipsets"			
			Apple completed their transition to PowerPC for designing processors for Macs. 			
			Nvidia releases the RIVA TNT2 (NV5). 			
			"Nvidia brings out the first graphics card with a dGPU - the GeForce 256 add-in.
 - dGPU is soldered to a video card
 - the card makes use of a PCIe connector (a high-speed connect to the motherboard) "			
			C99			
			"coreboot was born.
 - an open-source alternative to BIOS and UEFI.
 - reduced boot times
 - increased system security
 - customizable hardware settings"			
			The original GNOME desktop environment was developed for Linux. 			
			The first PPTP specification was published.			
			EverQuest hit the market. 			
			Age of Empires II: The Age of Kings was released. 			
			Heroes of Might and Magic III came out. 			
			Aliens vs. Predator came out. 			
			Disciples: Sacred Lands was released.			
			"Quake III saw the light of day. 
 - built with the id Tech 3 engine. 
 - GPU rendering completely took over; no support for software rendering whatsoever. 
 - employed the fast inverse-square-root algorithm for blazing-fast performance (employed 
   by John Carmack but rooted in academic studies from the past). "			
			Transition to 64-bit systems. 			
2000s			"RHIDE made itself known. 
 - an alternative to Turbo C. 
 - allows for cooperation with compilers that include DJGPP. "			
2000			Diablo II took the stage. 			
			The first version of C# was written. 			
			"Python 2.0 came out. 
 - featured a garbage collector
 - support for Unicode"			
			The first version of XHTML was released.			
			"The first version of RHEL (Red Hat Enterprise Linux) reached the end of its development.
 - led by Bob Young and Mark Ewing
 - integrity is the focus of the distro"			
			MINIX became free and open-source under the BSD-3 Clause license.			
			Apache Subversion (a.k.a. svn) version control software became available.			
			"The Gentoo Linux distro family was started.
 - focus: simplicity and performance
 - started with the Enoch distribution"			
			"ATI's first series of Radeon video cards, R100, was marketed.
 - DirectX 7 - compliant
 - HyperZ tech allowed for great bandwidth and efficient fill-rate"			
			"OpenCV was released. 
 - initially used CPU, not GPU, for graphics operations. 
 - (slow pixel-by-pixel drawing with WinAPI.)"			
			The first version of FASM was released. 			
2001	The 130nm semiconductor fabrication process was commercialized. 					
			Black & White. 			
			Empire Earth. 			
			Serious Sam was released. 			
			The 2.2 version of the Kate text editor (KDE ATE) was launched.			
			The Scala language was created.			
			HyperTransport, with Jim Keller's contributions, became AMD's bus standard for processor design.			
			AMD, Nvidia, and Intel come to terms on processor bus compatibility with 3GIO.			
			The first desktop version of Mac OS, version 10.0, was released. 			
			"Windows XP came out. 
 - used to be able to run old games, software, and educational setups (e.g., 
   Arduino) thanks to its 32-bit system architecture
 - the Windows Installer service packs are out of date now
 - lost Google Chrome support"			
2002			" - 800 x 600 was still very common. 
 - 17"" monitors became more prevalent. 
 - We are still at 30 ppd. "			
			"HDMI 1.0 hit the market.
 - a single-cable connector interface for digital audio and video (A/V) data
 - proprietary
 - along with DisplayPort would hurt DVI-technology sales and be a long-standing player
 - stands for ""High-Definition Multimedia Interface"""			
			DOSBox was first released as freeware. 			
			"Arch Linux was born.
 - gave birth to Manjaro
 - the Pac-Man package manager
 - constant updating"			
			RHEL (Red Hat Enterprise Linux) was finally cooked up. 			
			GLSL was first introduced as an extenstion of OpenGL 1.4. 			
			Heroes of Might and Magic IV was released. 			
			Warcraft III: Reign of Chaos came out. 			
c. 2003	The 90nm semiconductor fabrication process was commercialized. 					
2003		The Famicon was discontinued; the rest of the 3rd gen died out. 	C++03			
			"Linux Fedora was first released. 
 - by Warren Togami, Red Hat
 - easy to install
 - great for server applications
 - great for desktop applications
 - regularly maintained kernel
 - support and security updates are regularly provided by Red Hat"			
			Sybase finished Watcom's project and released it as Open Watcom C/C++.			
			The QEMU platform and environment emulator was developed by Fabrice Bellard.			
			"LLVM (low-level virtual machine) was developed by Chris Lattner.
 - employs conversion to and from IR 
 - IR is intermediate representation, output code formatted in Java bytecode
 - MLIR (multi-level intermediate representation) modular compiler infrastructure 
   is introduced along with the Dialect plugin architecture and polyhedral compilation  
   to alleviate programming challenges
 - LLVM also features a debugger, its own implementation, and the C++ Standard Library."			
			"ARM assembly and x86 assembly were pushed to the 64-bit form (ARM64 and x86-64). 
 - Jim Keller co-developed the x86-64 (a.k.a. AMD64 and Intel64) instruction set
 - the x86-64 instruction set would later be used for future AMD64 projects
 - Opteron became the first AMD64-based processor"			
			"HDCP (High-bandwidth Digital Copy Protection) protocol was born.
 - an encryption technique
 - approved by FCC in 2004"			
			"The Peripheral Component Interconnect Express (PCIe) bus standard was co-designed by engineers of the Intel-Dell-HP-IBM alliance.
 - ""a high-speed serial computer expansion bus standard"" meant to replace legacy bus standards"			
			Rise of Nations was released. 			
			"Unreal II: The Awakening was released. 
 - uses DirectX API "			
2004		The 4th gen died out with the discontinuation of Neo Geo. 	World of Warcraft was launched. 			
		Xbox 360 hit the stage, the first of the 7th gen of video game consoles. 	EverQuest II hit the shelves. 			
			Doom 3 was released, forged with the use of the id Tech 4 engine. 			
			Lords of the Realm III came out. 			
			The Ruby on Rails framework was initiated for web applications, providing a default database structure.			
			"CentOS was born.
 - a descendant of the Red Hat project"			
			"The first version of Linux Ubuntu was launched. 
 - based on Debian
 - semi-annual (every six months) maintenance
 - very popular, meaning it is one of the distros to get the biggest support
 - highly performant, making it great for video game development
 - more options for privacy and security
 - not easy to install
 - launched by a UK company Canonical Ltd."			
			"Tiano, an open-source EFI development tool from Intel, was released.
 - it was later succeeded by EDK and EDK II"			
			GLSL became an essential extension of OpenGL 2.0. 			
			Gmail, Google's free email service, was launched. 			
			The Facebook was developed and made publically available.			
2005	The 65nm semiconductor fabrication process was commercialized. 					
			Microsoft Windows XP Professional x64 Edition came out.			
			Empire Earth 2. 			
			The first version of the Unity engine was released.			
			The first release of the Git version control system became available for use.			
			"openSUSE project was formed.
 - still treated as a general-purpose distro
 - by Novell"			
			The UEFI Forum (a.k.a. UEFI Consortium) was formed.			
			The Arduino project was launched.			
2006		The 5th gen died out. 	3D Realms released Prey. 			
			Heroes of Might and Magic V (HoMM5) hit the market. 			
			AMD acquired ATI, claiming all Radeon video card projects.			
			Apple chose Intel Core RISC ISA over PowerPC for processor design.			
			MINIX 2.0 became POSIX-compliant.			
			Power ISA was developed and released by IBM's OpenPOWER Foundation.			
			"DisplayPort technology came out to compete with HDMI.
 - a VESA standard, ergo non-proprietary
 - extinguished DVI's popularity"			
			"The first version of Linux Mint came out. 
 - based on Ubuntu.
 - is not as rigorously supported as Ubuntu. 
 - has a looser, more experimental build to it. 
 - by Clement Lefebvre"			
			Xubuntu was developed.			
			The first version of KVM (Kernel-based Virtual Machine) was engineered.			
			The first version of SymbOS was developed in Z80 as freeware for certain Amstrad and MSX models of computers. 			
			UEFI v 2.0 was released, featuring cryptography and security updates.			
2007	The 45nm semiconductor fabrication process was commercialized. 					
			Windows Vista came out. 			
			"The Clang compiler was developed by Chris Lattner. 
 - for C/C++ and Objective-C/C++."			
			Oracle VM VirtualBox was released.			
			The id Tech 5 engine was demonstrated by John Carmack. 			
			"Crysis was released. 
 - Employs SSAO (screen space ambient occlusion) at no pre-processing
   or loading cost. 
 - Makes great demands of PC hardware. 
 - Relies entirely on the GPU. "			
			Empire Earth 3. 			
			UEFI v 2.1 was released, featuring network auth. and HII/UI architecture updates.			
			"Later in the decade, 1280x1024 started to dominate. 
 - 1024 x 768 was still very common. 
 - Monitors grew to be as big as 19"". 
 - Up to 38 ppd. "			
2008			Much of OpenGL 3.0 was deemed obsolete.			
			"SeaBIOS came out.
 - 16-bit x86 BIOS implementation
 - free and open-source
 - suitable for both the actual hardware (as a coreboot payload) and for emulators"			
			The Wayland communication and display server protocol was created.			
			Python 3.0 came out.			
			The GitHub hosting service was created using Git. 			
			Google released the Android with its own mobile OS, powered by Linux. 			
			"OpenCL 1.0 came out.
 - features a dedicated API
 - includes a kernel-level language for executing data-parallel programs for various systems "			
			"DuckDuckGo search engine was launched.
 - emphasis on user privacy
 - brushing off user search-based (personalized) results
 - negating content farm influence"			
2009	The 32nm semiconductor fabrication process was commercialized. 					
			Windows 7 came out. 			
			"OpenCL (Open Computing Language) framework was released.
 - developed by the Khronos Group"			
			"The first version of Go programming language was developed. 
 - with input from Rob Pike"			
			"HDMI 1.4 came out.
 - support for wide color depth, audio, and Ethernet data"			
			"The BitCoin cryptocurrency was made available through an open-source software. 
 - Thousands more followed in the coming years. "

